prime;target
APPROVAL;YES
GRAPH;GEOMETRY
PRODUCT;ITEM
DENIAL;REFUSE
CIRCUMSTANCE;SITUATION
WART;UGLY
STATUE;LIBERTY
CURSE;SWEAR
LAUNDRY;SOAP
ANCIENT;MODERN
AMBULANCE;EMERGENCY
RADISH;VEGETABLE
ANCESTOR;RELATIVE
PHANTOM;MONSTER
ALLIGATOR;RIVER
RIOT;CROWD
MARS;PLANETS
PORTION;SAMPLE
VICE;PRESIDENT
OUTLET;PLUG
AWKWARD;DIFFERENT
OLYMPICS;GOLD
TWISTER;MOVIE
HOW;WHO
ANNUAL;ONCE
ARTS;CRAFTS
METRIC;SYSTEM
ARMS;HUG
SEX;FEMALE
ANNOY;SISTER
BUS;TAXI
COVERED;SHEETS
EXISTENCE;BEING
SUDS;BATH
HARDY;BOYS
ALTO;SOPRANO
MANUFACTURER;MAKER
FLING;FLIRT
FILL;DIRT
UNITED;STATES
ATTRACT;LIKE
SATAN;SILK
SELECTION;CHOICE
WEIGHTS;WORKOUT
HOPE;GLORY
TRAIL;PATH
PORT;SHIP
BINDER;FOLDER
CHICKEN;SOUP
MAKE;DO
BALL;BAT
SHORTCAKE;STRAWBERRY
STRIP;NAKED
CARBON;ATOM
HERB;GARDEN
CHECKING;ACCOUNT
ELF;SANTA
SILLY;CRAZY
EXPRESS;SAY
ENJOY;LIFE
GANDER;GOOSE
WALL;PICTURE
UNCLEAR;FOG
FASCISM;COMMUNISM
EXPRESSION;EMOTION
FLAKE;CORN
STY;SLY
COMPLICATED;SIMPLE
SOCK;SHOE
OBOE;FLUTE
INVALID;WHEELCHAIR
PINT;QUART
CONSCIOUS;AWARE
TEMPER;TANTRUM
CAULIFLOWER;BROCCOLI
KITCHEN;COOK
PARDON;EXCUSE
BOUILLON;SQUARE
UNHAPPY;WORRY
ESTEEM;SELF
BREAST;CHEST
CLEVER;STUPID
LEGAL;ILLEGAL
PLUSH;CARPET
HOBO;BUM
THREAT;SCARE
CRATER;ZIT
TOTAL;ALL
HIKE;WALK
BACKBONE;SPINE
RUMOR;TALK
TACKLE;DEFENSE
CARESS;SOFT
COMPUTE;CALCULATE
DETAIL;SPECIFIC
CLENCH;TIGHTEN
REARRANGE;ORGANIZE
DOWNSTAIRS;UPSTAIRS
FUND;DOLLARS
EAGLE;AMERICA
TAX;GOVERNMENT
APATHY;SYMPATHY
IMPRESSION;ART
IVY;VINE
GRIP;HOLD
BREAKFAST;CEREAL
CLAIM;INSURANCE
FRAUD;CRIME
USUAL;UNUSUAL
STOCK;MARKET
FUSS;WHINE
DEPTH;SHALLOW
VEER;RIGHT
HONEST;TRUTH
BUILDER;CONSTRUCTIO
THICK;THIN
SCRATCH;BITE
SUM;ADD
PLEAD;BEG
TUNNEL;UNDER
FORCE;STRENGTH
HIDDEN;SECRET
PHRASE;SENTENCE
MAILBOX;FLAG
SCOLD;YELL
TANK;WAR
BATHROOM;BEDROOM
METEOR;SHOWER
DISALLOW;ALLOW
CEMETERY;GRAVE
DENSE;COMPACT
JERK;IDIOT
UNJUST;UNFAIR
PEARL;OYSTER
FOX;HOUND
SURROUNDING;AROUND
TESTIFY;CONFESS
BOLOGNA;MEAT
CREATIVE;MIND
SHIVER;SHAKE
BRUISE;KNEE
MAJORITY;MOST
POEM;RHYME
PASSAGE;HALLWAY
UNTRUE;FALSE
PERSONAL;DIARY
WORD;LETTER
BEAT;POUND
TAME;WILD
CATCHER;BASEBALL
ADVENTUROUS;DARING
MAGNET;REFRIGERATO
COMBINATION;MIXTURE
PITY;SHAME
BRITTLE;PEANUT
DISH;PLATE
SURGEON;SURGERY
ALLERGY;SNEEZE
VIOLENT;PURPLE
HIM;HER
LEAGUE;FOOTBALL
ATTEND;GO
WRINKLE;IRON
CREW;TEAM
STAPLER;STAPLE
PLEASE;THANKS
DROP;FALL
WALNUT;CRACK
TUTU;BALLET
REFEREE;SPORTS
INFECTION;DISEASE
ANIMAL;BEAR
CAREFUL;CAUTIOUS
DIVIDE;MULTIPLY
ISOLATED;ROOM
HOTTER;SUMMER
TRIBE;INDIAN
STORAGE;KEEP
MONOTONOUS;BORING
SUBURB;NEIGHBORHOO
MEDIUM;RARE
SPOTLESS;SPOT
PUBLIC;PRIVATE
NOVEL;READ
SAYING;TALKING
REAR;FRONT
YOUTH;YOUNG
LOUNGE;HOTEL
CATTLE;HORSE
DOWNTOWN;BUSY
CHILDREN;KIDS
ABNORMAL;INSANE
POSITION;PLACE
CELERY;CARROT
CREASE;FOLD
GRAB;BAG
FIN;DOLPHIN
IRON;STEEL
HUG;ARMS
DIME;PHONE
MAGNIFY;ENLARGE
SALUTE;PLEDGE
POLISH;SHINE
FLESH;SKIN
UPSTREAM;WATER
HERD;BUFFALO
THUNDER;LIGHTNING
ITCH;SCRATCH
LOYALTY;HUSBAND
END;START
RELATIVE;AUNT
NERVE;NEURON
COKE;PEPSI
OWNER;SELLER
ROTTEN;SPOILED
DEPEND;INDEPENDENT
EXIST;EXTINCT
FORGIVE;ACCEPT
SLOB;MESSY
BROCCOLI;SPINACH
JUVENILE;IMMATURE
PATIENCE;VIRTUE
RESEARCH;PAPER
DEVELOPMENT;GROWTH
NORM;AVERAGE
MATERIAL;OBJECT
DRESSING;SALAD
GLANDS;NECK
MAGGOT;WORM
DEVELOP;GROW
HAMMOCK;SWING
TYPE;KIND
BUBBLE;GUM
QUACK;DUCK
HOME;FAMILY
WHERE;WHEN
RESPONSIBLE;DEPENDABLE
IRRITATING;ANNOYING
NOW;LATER
CRACK;COCAINE
CEMENT;CONCRETE
CONTEST;WINNER
TREAD;FLOAT
PHASE;STAGE
GIRLFRIEND;BOYFRIEND
FASHION;FAD
RUNG;LADDER
SUFFOCATE;DIE
CROPS;HARVEST
HERE;THERE
ABOVE;BELOW
GRASS;LAWN
SWEATER;JACKET
DANDRUFF;FLAKES
MONEY;CASH
PITCHER;TEA
DIFFER;SIMILAR
NUCLEAR;BOMB
MISSILE;ROCKET
PHYSIOLOGY;BODY
EMOTION;FEELING
PIE;APPLE
PROUD;ARROGANT
UNDER;AUSTRALIA
HAT;HEAD
PAIR;TWO
LONDON;ENGLAND
UNIT;PART
RECORD;LISTEN
ACCOUNT;FOR
BRUNETTE;BLONDE
HAYSTACK;COW
LEDGE;CLIFF
ALPHABET;LETTERS
LOOSE;TIGHT
YES;POSITIVE
TASTY;TREAT
ADORABLE;CUTE
STOMACH;ACHE
LIBERAL;CONSERVATIV
WEATHER;CLIMATE
VICTOR;LOSER
COUGAR;LION
HUSK;ELEPHANT
DIFFERENCE;SUBTRACT
REMIND;REMEMBER
TICKET;CONCERT
CHIME;BELL
GROCERY;STORE
WINGS;BIRD
SAINT;ANGEL
TRAIN;STATION
GEOMETRY;SHAPE
EUROPE;ASIA
SOUP;VEGETABLES
ICE;PICK
TOW;CARRY
WICKER;BASKET
CAMEL;EGYPT
FOLLY;MISTAKE
BLUR;VISION
MEND;BREAK
RADIATOR;WARM
PICKLE;DILL
COOLER;WINE
STOVE;KITCHEN
INTROVERT;EXTROVERT
POND;LAKE
AROUND;WORLD
BULLETIN;BOARD
ENRAGE;CALM
GALLOP;RUN
MIDDLE;CENTER
COMPASS;DIRECTION
BARGAIN;SALE
FALL;SPRING
SNUGGLE;CUDDLE
SLING;SHOT
MORSE;CODE
FAMINE;HUNGER
HOUND;BLOOD
SWORD;KNIGHT
BIKE;RIDE
CONSTITUTION;RIGHTS
BATH;TOWEL
WAIST;HIP
CLOSE;NEAR
WIFE;MARRY
OBSCURE;UNCLEAR
SWIMMER;JOGGER
ASLEEP;AWAKE
CRITERION;SCHEDULE
PIN;SHARP
WEEK;YEAR
SENTENCE;PERIOD
CEREMONY;GRADUATION
WHITE;BLACK
HANGER;COAT
SALT;PEPPER
QUILT;BLANKET
CAR;AUTO
LAST;CHANCE
CHOICE;DECISION
CHEMIST;SCIENTIST
CHEMISTRY;SCIENCE
GUITAR;STRING
CYCLONE;TORNADO
SHEARS;SCISSORS
SOLID;STRIPE
HUT;STRAW
PRIDE;PREJUDICE
CHORUS;SONG
STILL;QUIET
POLICEMAN;COP
WET;DRY
BONE;CHICKEN
GOOD;BETTER
CAVITY;CAVE
NETWORK;NEWS
REMAIN;STAY
CREATURE;DINOSAUR
BRANCH;LEAF
FURRY;RABBIT
DILIGENCE;TRY
LITTER;CATS
ENGINE;FIRE
CUP;SAUCER
WAGON;TOY
CELLAR;ATTIC
SNOB;BITCH
VIOLENCE;GUN
LEARN;TEACH
CHIPS;POTATO
BARBECUE;RIBS
INJECTION;NEEDLE
BURIAL;DEATH
STYLE;PERSONALITY
WIN;LOSE
SPANISH;LANGUAGE
PASTURE;GRASS
DAILY;MONTHLY
CHANCE;LUCK
PLAQUE;TROPHY
GHETTO;POOR
RECKLESS;DRIVING
OVERFLOW;SPILL
SOFTBALL;GIRLS
DIG;SHOVEL
PROSE;POETRY
APPEAL;LOOKS
LOAN;SHARK
PROM;FUN
BLAME;ACCUSE
TRIUMPH;WIN
BOG;HOG
ERUPT;ORGASM
ASH;ASHTRAY
COLUMN;NEWSPAPER
TROPICAL;STORM
INTRODUCE;MEET
BANJO;GUITAR
PASTRY;DOUGHNUT
EXTRAVAGANT;RICH
DISBELIEF;ALIVE
SOFA;BED
HEAVY;WEIGHT
RODENT;BUG
FORBIDDEN;ZONE
DETERMINE;DECIDE
PADDY;WAGON
DISORDER;ORDER
MAGAZINE;BOOK
HEADING;TITLE
SEASONING;SALT
ROAST;BEEF
PRO;CON
MINUTE;SECOND
GHOUL;GHOST
BEAUTY;BEAST
DRIVEWAY;PAVEMENT
BULLOCK;ACTRESS
INITIAL;NAME
BLOCKS;CHILDREN
FRIENDSHIP;ENEMY
SHORTS;LEGS
VIVID;CLEAR
REPLY;SPEAK
DEPUTY;ASSISTANT
AMBITION;GOAL
SUBJECT;CLASS
SURFACE;TOP
DEMI;GOD
CONTRACT;AGREEMENT
PISSED;MAD
SCREW;DRIVER
BUGLE;HORN
RETREAT;BACK
TACK;NAIL
LIQUID;WET
STRIPES;SHIRT
SEMESTER;HOURS
SEDATIVE;PILL
EGYPT;PYRAMID
ABSURD;RIDICULOUS
DARKNESS;SCARED
SKIP;JUMP
BULLET;PROOF
FUNGI;BIOLOGY
NOTICE;SEE
AWE;WONDER
ORCHESTRA;VIOLIN
HAWAII;HULA
FROG;PRINCE
FOUNDATION;BASE
CONTINENT;AFRICA
FLY;AIRPLANE
GROUNDS;KEEPER
EXCEPTIONAL;GREAT
PADDLE;PUNISHMENT
CAPACITY;FULL
PETROLEUM;CAR
LONELY;ALONE
FLUID;WASHER
CANAL;STREAM
LICE;DIRTY
RUBBER;BAND
FAMOUS;ARTIST
CHAPEL;PRIEST
PRAYER;HANDS
SHELF;DESK
FIGURE;EIGHT
GRAVITY;NEWTON
CONGRESS;SENATE
ANNOYING;IRRITATING
LIT;ON
DIVISION;SEPARATE
ORDINARY;PLAIN
LEADER;FOLLOWER
PERCH;BRANCH
SPONGE;OCEAN
AIM;TOOTHPASTE
PANTS;WEAR
ROOSTER;FARM
MATE;WIFE
ORIGINATE;BEGIN
COZY;COMFORTABLE
ROACH;MOTEL
FOREHEAD;HAIR
ARIGHT;OKAY
MASON;WORKER
DEFEND;PROTECT
ATTENDANCE;PRESENT
SHRIMP;LOBSTER
SLUM;CITY
VICTIM;MURDERER
LISTEN;HEAR
CORPORAL;ARMY
YOLK;EGG
HANDLE;CARE
MEASUREMENT;RULER
MESSAGE;NOTE
GUARDIAN;PARENT
DART;THROW
THIMBLE;THUMB
DINE;OUT
SUB;SANDWICH
SHEEP;WOOL
GYMNAST;TUMBLE
SIBLING;BROTHER
MELLOW;YELLOW
SPRAIN;ANKLE
POCKETBOOK;PURSE
WIDE;NARROW
LEAK;DRIP
OXYGEN;BREATHE
SAVIOR;TASTE
MAPLE;SUGAR
PLUTO;DOG
DISASTER;EARTHQUAKE
HELIUM;BALLOON
LEOPARD;TIGER
ENVY;GREED
ADDICT;DEPENDENT
REPUBLIC;COUNTRY
BURST;BUBBLE
BLEND;MIX
TULIP;FLOWER
SAPPHIRE;BLUE
PARADISE;ISLAND
BENT;CROOKED
WOMEN;MEN
ACCEPT;UNDERSTAND
MARSH;SWAMP
NAUSEOUS;STOMACH
MONDAY;TUESDAY
TRY;ATTEMPT
LIPS;KISS
PAIN;HEADACHE
SWAP;TRADE
INNOCENT;VIRGIN
FURTHER;AWAY
SEAT;TABLE
FINGERS;TOES
MEANING;DEFINITION
TENSION;STRESS
WED;THURSDAY
INTERIOR;INFERIOR
UNIFORM;NURSE
RITUAL;CEREMONY
PIT;HELL
JELLO;MOLD
GLIDE;SLIDE
BALCONY;LEDGE
PREMISES;PROPERTY
THRONE;KING
LOG;CABIN
WAREHOUSE;STORAGE
NORMAL;ABNORMAL
TARZAN;JANE
GAG;PUKE
SAUCER;CUP
BALLOT;ELECT
TELLER;BANK
NOON;LUNCH
GRIEF;TEARS
ROW;EGGS
IMPORTANT;MAJOR
BUTTON;PUSH
MEDIEVAL;ARMOR
PORCH;MONKEY
LIVE;HAPPY
SUBSTANCE;CHEMISTRY
EXCITED;BORED
ONION;HAMBURGER
RAINY;WEATHER
CONVINCE;PERSUADE
OUCH;HURT
TOY;DOLL
KEYS;CHAIN
RIDE;BICYCLE
CREDIT;CARD
RIGHTEOUSNESS;GOOD
PALE;TAN
CAPTURE;KIDNAP
SWAN;DIVE
ENERGY;ELECTRICITY
LOAD;HEAVY
BUMPS;GOOSE
DRILL;BIT
KINETIC;ENERGY
PILLOW;BLANKET
DELINQUENT;JUVENILE
HIKING;BOOTS
TODAY;TUESDAY
VULNERABLE;WEAK
EXPERIMENT;SCIENTIST
HEALTH;CARE
GRADUATE;STUDENT
CRAYOLA;CRAYON
BORING;DULL
WHEEL;WAGON
CAMP;GROUND
OPTIMISTIC;VIEW
KITTEN;CUTE
PEN;PENCIL
CASE;COURT
GENTLEMAN;LADY
REAL;PEOPLE
CONE;CUP
NEGOTIATION;AGREEMENT
TUNA;SANDWICH
REPENTANCE;FORGIVE
ANGEL;HEAVEN
LETTUCE;TOMATO
OBJECTIVE;COURSE
SEATBELT;PROTECTION
SORORITY;WOMEN
LAWYER;LAWSUIT
CLICK;MOUSE
STRAND;STRING
CAPE;CORAL
AUNT;UNCLE
MOVE;STAY
PART;WHOLE
DRAG;RACE
STABLE;OKAY
MANNER;WAY
BELL;LIBERTY
ZIT;PIMPLE
LUMBER;BUILD
CHRISTMAS;SANTA
SMOKY;MOUNTAINS
COBWEB;SPIDER
BOUND;TIE
SWING;PARK
LETTER;NOTE
DEFROST;THAW
UNCONSCIOUS;ASLEEP
CLOCKWISE;DIRECTION
CONCENTRATE;WANDER
GUEST;RELATIVE
ISSUE;MAGAZINE
BANANA;FRUIT
TEENAGER;ADOLESCENT
ACT;PLAY
DISCIPLINE;STRICT
VACANCY;EMPTY
OVERVIEW;PREVIEW
ASSIGNMENT;HOMEWORK
WAIT;PATIENCE
GLASSES;FRAME
CLIFF;LEDGE
ENOUGH;DONE
REMOVER;NAIL
RELATIVITY;THEORY
SADDLE;RIDE
SPOTS;DOTS
CONFLICT;FIGHT
CONDEMN;ACCUSE
TOENAIL;CLIPPER
COYOTE;WOLF
PROMISE;BROKEN
LAGOON;SWAMP
SQUAD;POLICE
COTTON;WOOL
CROCODILE;ALLIGATOR
TRUNK;STORAGE
SUBTLE;HINT
COLT;GUN
BLINDS;CURTAINS
SEASHORE;SHELL
NOMAD;HOMELESS
ACCOMPLISHED;FINISHED
HEAD;ACHE
AGAIN;REPEAT
CATASTROPHE;TORNADO
MUTTON;LAMB
ANTLERS;DEER
TOP;COVER
REPUBLICAN;CONSERVATIV
TRAUMA;SHOCK
GEORGE;WASHINGTON
CLOSING;OPENING
YARN;WEAVE
ENGLISH;WRITING
GANG;GROUP
WASTE;BASKET
DELICATE;FRAGILE
UNSEEN;HIDDEN
CUSHION;COUCH
REEL;FILM
GIRL;BOY
LAPEL;COLLAR
EFFECT;CAUSE
LUNG;CANCER
NYLON;HOSE
HE;SHE
FUNGUS;GROWTH
ALWAYS;FOREVER
ENDLESS;CLASS
STUMBLE;TRIP
NAME;TITLE
OFFICER;NAVY
ENTERTAIN;AMUSE
CRANE;CONSTRUCTIO
THROAT;COUGH
SODA;PEPSI
FLAT;TIRE
TENSE;SITUATION
PRAISE;GLORY
DAWN;DUSK
FORTUNE;POOR
DEMON;DEVIL
CHUNK;PIECE
BURGLAR;ROBBERY
DENY;REFUSE
PLAYING;KIDS
MINK;FOX
TIGHT;LOOSE
NOTIFY;ALERT
INTOXICATE;POISON
SHOP;KEEPER
NONSENSE;RIDICULOUS
AIRPLANE;FLY
LABEL;TAG
BUFFALO;PLAIN
FATHER;MOTHER
POLE;VAULT
SORRY;APOLOGY
POET;WRITER
VARIETY;MANY
MASSAGE;RELAX
DUNK;BASKETBALL
NAP;SLEEP
SOW;PIG
BOLD;DARING
BEAVER;DAM
BRAND;KIND
THRESHOLD;MARRIAGE
GRAIN;WHEAT
REFRAIN;TALKING
LASH;HURT
EXCELLENT;SUPERIOR
DIMINISH;LESSON
AGENCY;COMPANY
SKI;JUMP
GARBAGE;TRASH
WARNING;STOP
DATA;BASE
CAUTIOUS;CAREFUL
TORN;HOLE
LEGISLATURE;SENATE
INFLUENCE;PERSUADE
CASTLE;SAND
LIMOUSINE;PROM
FACULTY;STAFF
NOTHING;SOMETHING
UNDERWEAR;BRA
PANEL;WOOD
TEAM;BASEBALL
PRICE;AMOUNT
LAY;DOWN
STRAIGHT;NARROW
HUNGRY;FULL
TRAITOR;LIAR
FIELD;CORN
NOUN;VERB
CALL;YELL
STORM;LIGHTNING
SOCKET;PLUG
DRACULA;FRANKENSTEI
SCOTCH;TAPE
GREEK;FRATERNITY
VAIN;CONCEITED
NOVICE;BEGINNER
BRAKE;GO
SMASH;GLASS
KEYBOARD;PIANO
TILL;THEN
CENTER;MIDDLE
KEY;LOCK
FOLD;TEAR
VISION;SEE
WALLET;MONEY
ADVANCE;FORWARD
CROOK;THIEF
INQUIRE;ASK
DECAY;ROT
FIVE;SIX
POOL;HALL
CRYSTAL;CLEAR
SECURE;SAFE
REACH;GRASP
SCALPEL;OPERATION
ROMAN;EMPIRE
DILEMMA;DECISION
CLOAK;DAGGER
ADVERTISEMENT;NEWSPAPER
LOTS;LITTLE
SECURITY;TIGHT
STOLEN;PROPERTY
CURVE;STRAIGHT
SURROUNDINGS;ENVIRONMENT
BEAUTIFUL;PRETTY
SICKLE;CELL
CENTRAL;CENTER
AUTUMN;SPRING
HARVEST;CROPS
SIREN;EMERGENCY
GRADUATION;CEREMONY
MENTAL;HEALTH
DISSOLVE;SALT
INVENT;CREATE
PARTY;NAKED
PRODUCER;MAKER
EXTINCT;BASIC
SOUTHERN;STATES
CRAFT;TRADE
MASTERY;SKILL
BAGEL;SHOP
ENTERTAINMENT;TELEVISION
SKINNY;FAT
BRAVADO;GREAT
SOUND;NOISE
CONSCIENCE;AWAKE
SPREAD;APART
DECEPTION;HONESTY
WELCOME;HOME
EXPENSIVE;CHEAP
SHOW;TELL
SOMETHING;GOOD
VIOLIN;BOW
DECIDE;CHOICE
PAGE;CALL
MATURE;AGE
BANKER;BANK
BIBLE;HOLY
HAPPENING;NOW
OPENER;CAN
SEE;HEAR
RUSSIA;COMMUNIST
GUESS;QUESTION
SIDEWALK;WALKWAY
SECTION;EIGHT
RING;BELL
WEAVE;SEW
TRUCK;DRIVER
CEREAL;BREAKFAST
GOOSE;GANDER
CORPORATION;BUSINESS
REBEL;WILD
FLU;SNEEZE
SNAP;CRACKLE
POST;OFFICE
LOUD;PAIN
SCIENTIST;SCIENCE
PLAYGROUND;SLIDE
DRUG;COCAINE
COMMANDER;CHIEF
MUG;BEER
LASTING;LONG
FIGHT;FIST
CHESS;KING
SPLINTER;FOOT
BEGINNER;NOVICE
STEAL;BEG
SPOILED;ROTTEN
LENS;GLASSES
DUMP;GARBAGE
SNOT;NOSE
POPE;GOD
HUNGER;AFRICA
ROCKET;SKY
LOVING;CARING
WHEN;WHERE
SUMMER;WINTER
WRAP;AROUND
PENNY;DIME
FAVORITE;BEST
LAB;EXPERIMENT
LATE;EARLY
APPRAISE;VALUE
CERAMICS;CRAFTS
COUGH;COLD
PERSUADE;CON
INSECURE;SECURE
FADE;JEANS
ELABORATE;EXPLAIN
DISTANCE;FAR
MEADOW;FIELD
TENOR;SOPRANO
NUMBER;ONE
MOUNTAIN;TOP
BUY;SELL
ANXIETY;NERVOUS
COMPUTER;DISC
ENTRANCE;EXIT
ALCOHOL;DRINK
WOODS;DARK
EASTER;SUNDAY
JESUS;CHRIST
VICTORY;WINNER
DISCREET;CAUTIOUS
QUIZ;TEST
PLATES;DISHES
HINGE;SWING
LEGEND;STORY
PERMIT;LET
LICENSE;DRIVING
BREAKABLE;ITEM
CANDY;GUM
ACTRESS;ACTOR
PIECE;PIE
GREET;MEET
FANCY;LIKE
DISCOURAGE;ENCOURAGE
GOO;STICKY
TANGERINE;ORANGE
PRIVATE;PUBLIC
RACKET;TENNIS
ANTLER;HORN
SCOOP;SHOVEL
INTOXICATED;DRUNK
HONEYMOON;WEDDING
RUNNING;SWEAT
ANTIDOTE;CURE
PREPARE;READY
FUEL;GAS
VIKING;PRINCESS
FASTEN;SEATBELT
CLEANER;MAID
SCREAM;FEAR
HANDSOME;BOYFRIEND
ROPE;LADDER
LAP;SIT
FOG;MIST
EXPLODE;ERUPT
STEW;SOUP
FOREVER;ALWAYS
GRACE;AUNT
INSANE;MAD
LICK;TONGUE
SWATTER;BAT
HANDS;FEET
GONE;LEFT
WORST;TERRIBLE
DISBELIEVE;BELIEVE
CASUAL;COMFORTABLE
OATH;PROMISE
TERM;DEFINITION
SURVIVE;LIVE
STRAIN;BACK
FRIGHT;GHOST
TAG;GRAB
SCAPEGOAT;BLAME
CITY;STATE
SLOPE;SKI
COMPOUND;MIXTURE
COURT;JUDGE
SUNSET;MOON
PEDAL;BIKE
APOLOGY;MISTAKE
STRONG;ARM
INDUSTRY;STEEL
VILLAGE;TOWN
COMPASSION;SYMPATHY
MUTE;DEAF
TANGY;TART
DANDELION;YELLOW
SHALLOW;DEEP
GRANT;ALLOW
